Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
												Studio
														–
2 Beds										","
												1 Bed
														–
3 Beds										","
												3 Beds
										"
The Modern Cactus,Palm Springs,Apartment,CA,92262,"[{'bedroom_type': 'Studio', 'price': '$1,150'}, {'bedroom_type': '1 Bed', 'price': '$1,325'}, {'bedroom_type': '2 Beds', 'price': '$1,600'}]","311 S Sunrise Way, Palm Springs, CA 92262",https://www.apartments.com/the-modern-cactus-palm-springs-ca/gyqpbpw/,"$1,150","$1,325","$1,600",,,,,
Marina Playa,Santa Clara,Apartment,CA,95051,"[{'bedroom_type': '1 Bed', 'price': '$2,161'}, {'bedroom_type': '2 Beds', 'price': '$2,816'}, {'bedroom_type': '3 Beds', 'price': '$3,576'}]","3500 Granada Ave, Santa Clara, CA 95051",https://www.apartments.com/marina-playa-santa-clara-ca/d6tg4dk/,,"$2,161","$2,816","$3,576",,,,
Sofi at 3rd,Long Beach,Apartment,CA,90802,"[{'bedroom_type': 'Studio', 'price': '$1,759'}, {'bedroom_type': '1 Bed', 'price': '$1,831'}, {'bedroom_type': '2 Beds', 'price': '$2,233'}]","225 W 3rd St, Long Beach, CA 90802",https://www.apartments.com/sofi-at-3rd-long-beach-ca/5jcjlvm/,"$1,759","$1,831","$2,233",,,,,
Avalon Glendora,Glendora,Apartment,CA,91740,"[{'bedroom_type': '1 Bed', 'price': '$1,921'}, {'bedroom_type': '2 Beds', 'price': '$2,275'}, {'bedroom_type': '3 Beds', 'price': '$3,080'}]","121 E Route 66, Glendora, CA 91740",https://www.apartments.com/avalon-glendora-glendora-ca/zlcf57x/,,"$1,921","$2,275","$3,080",,,,
Theatre Square Apartments,Petaluma,Apartment,CA,94952,"[{'bedroom_type': 'Studio', 'price': '$2,090'}, {'bedroom_type': '1 Bed', 'price': '$1,980'}, {'bedroom_type': '2 Beds', 'price': '$2,625'}, {'bedroom_type': '3 Beds', 'price': ''}]","101 2nd St, Petaluma, CA 94952",https://www.apartments.com/theatre-square-apartments-petaluma-ca/8vm8gk0/,"$2,090","$1,980","$2,625",,,,,
Entrada Apartments,San Diego,Apartment,CA,92101,"[{'bedroom_type': 'Studio', 'price': '$1,738'}, {'bedroom_type': '1 Bed', 'price': '$1,820'}, {'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': '$3,285'}]","453 13th St, San Diego, CA 92101",https://www.apartments.com/entrada-apartments-san-diego-ca/peg5vbv/,"$1,738","$1,820",,"$3,285",,,,
Bluwater Crossing,Carlsbad,Apartment,CA,92011,"[{'bedroom_type': '1 Bed', 'price': '$3,135'}, {'bedroom_type': '2 Beds', 'price': '$5,090'}]","6800 Embarcadero Ln, Carlsbad, CA 92011",https://www.apartments.com/bluwater-crossing-carlsbad-ca/rcelt90/,,"$3,135","$5,090",,,,,
The Grove,San Jose,Apartment,CA,95128,"[{'bedroom_type': 'Studio', 'price': '$1,955'}, {'bedroom_type': '1 Bed', 'price': '$1,954'}, {'bedroom_type': '2 Beds', 'price': '$2,396'}, {'bedroom_type': '3 Beds', 'price': '$3,443'}]","1919 Fruitdale Ave, San Jose, CA 95128",https://www.apartments.com/the-grove-san-jose-ca/lcg228f/,"$1,955","$1,954","$2,396","$3,443",,,,
Charter Oaks Apartments,Thousand Oaks,Apartment,CA,91360,"[{'bedroom_type': 'Studio', 'price': '$1,415'}, {'bedroom_type': '1 Bed', 'price': '$1,895'}, {'bedroom_type': '2 Beds', 'price': '$2,145'}]","887 Saint Charles Dr, Thousand Oaks, CA 91360",https://www.apartments.com/charter-oaks-apartments-thousand-oaks-ca/2fgllhb/,"$1,415","$1,895","$2,145",,,,,
Harborview,San Pedro,Apartment,CA,90732,"[{'bedroom_type': '1 Bed', 'price': '$2,140'}, {'bedroom_type': '2 Beds', 'price': '$2,435'}, {'bedroom_type': '3 Beds', 'price': ''}]","1286 W Capitol Dr, San Pedro, CA 90732",https://www.apartments.com/harborview-san-pedro-ca/1e0b8z5/,,"$2,140","$2,435",,,,,
Franklin 299,Redwood City,Apartment,CA,94063,"[{'bedroom_type': 'Studio', 'price': '$2,995'}, {'bedroom_type': '1 Bed', 'price': '$2,995'}, {'bedroom_type': '2 Beds', 'price': '$3,995'}]","299 Franklin St, Redwood City, CA 94063",https://www.apartments.com/franklin-299-redwood-city-ca/lpr5ejg/,"$2,995","$2,995","$3,995",,,,,
Camden Glendale,Glendale,Apartment,CA,91204,"[{'bedroom_type': 'Studio', 'price': '$1,769'}, {'bedroom_type': '1 Bed', 'price': '$2,139'}, {'bedroom_type': '2 Beds', 'price': '$2,689'}]","3900 San Fernando Rd, Glendale, CA 91204",https://www.apartments.com/camden-glendale-glendale-ca/kj6fsxc/,"$1,769","$2,139","$2,689",,,,,
Torrey Pines Apartment Homes,West Covina,Apartment,CA,91790,"[{'bedroom_type': '2 Beds', 'price': '$1,810'}]","851 S Sunset Ave, West Covina, CA 91790",https://www.apartments.com/torrey-pines-apartment-homes-west-covina-ca/qn94fky/,,,"$1,810",,,,,
Park Heights Apartments,Highland,Apartment,CA,92346,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,495'}]","2011 Arden Ave, Highland, CA 92346",https://www.apartments.com/park-heights-apartments-highland-ca/6hlhhys/,,,"$1,495",,,,,
Aspect,Fullerton,Apartment,CA,92832,"[{'bedroom_type': 'Studio', 'price': '$2,013'}, {'bedroom_type': '1 Bed', 'price': '$1,954'}, {'bedroom_type': '2 Beds', 'price': '$2,508'}]","251 Orangefair Ave, Fullerton, CA 92832",https://www.apartments.com/aspect-fullerton-ca/kjl8e99/,"$2,013","$1,954","$2,508",,,,,
Parklands Apartments,Ventura,Apartment,CA,93004,"[{'bedroom_type': '1 Bed', 'price': '$1,999'}, {'bedroom_type': '2 Beds', 'price': '$2,399'}, {'bedroom_type': '3 Beds', 'price': '$3,185'}]","10896 Telegraph Rd, Ventura, CA 93004",https://www.apartments.com/parklands-apartments-ventura-ca/4e1ys7k/,,"$1,999","$2,399","$3,185",,,,
El Cordova Apartments,Carson,Apartment,CA,90746,"[{'bedroom_type': '1 Bed', 'price': '$1,795'}, {'bedroom_type': '2 Beds', 'price': '$2,095'}]","950 E Del Amo Blvd, Carson, CA 90746",https://www.apartments.com/el-cordova-apartments-carson-ca/d2lp5qh/,,"$1,795","$2,095",,,,,
Park West Apartments,Chino,Apartment,CA,91710,"[{'bedroom_type': '2 Beds', 'price': '$1,770'}, {'bedroom_type': '3 Beds', 'price': ''}]","13151 Yorba Ave, Chino, CA 91710",https://www.apartments.com/park-west-apartments-chino-ca/xm8dhcq/,,,"$1,770",,,,,
Rancho Del Mar,San Clemente,Apartment,CA,92672,"[{'bedroom_type': '1 Bed', 'price': '$1,792'}, {'bedroom_type': '2 Beds', 'price': '$2,400'}]","1100 Calle Del Cerro, San Clemente, CA 92672",https://www.apartments.com/rancho-del-mar-san-clemente-ca/twmqmh8/,,"$1,792","$2,400",,,,,
Terra House Apartments,San Jose,Apartment,CA,95136,"[{'bedroom_type': 'Studio', 'price': '$2,209'}, {'bedroom_type': '1 Bed', 'price': '$2,524'}, {'bedroom_type': '2 Beds', 'price': '$2,961'}]","4501 Snell Ave, San Jose, CA 95136",https://www.apartments.com/terra-house-apartments-san-jose-ca/ffy3pgs/,"$2,209","$2,524","$2,961",,,,,
Cascades,Fresno,Apartment,CA,93720,"[{'bedroom_type': '1 Bed', 'price': '$1,340'}, {'bedroom_type': '2 Beds', 'price': '$1,469'}]","9375 N Saybrook Dr, Fresno, CA 93720",https://www.apartments.com/cascades-fresno-ca/f2f1ggt/,,"$1,340","$1,469",,,,,
The Retreat,Walnut Creek,Apartment,CA,94596,"[{'bedroom_type': 'Studio', 'price': '$1,695'}, {'bedroom_type': '1 Bed', 'price': '$1,851'}, {'bedroom_type': '2 Beds', 'price': '$2,276'}]","1459 Creekside Dr, Walnut Creek, CA 94596",https://www.apartments.com/the-retreat-walnut-creek-ca/1hw8tq7/,"$1,695","$1,851","$2,276",,,,,
Canyon Terrace,Folsom,Apartment,CA,95630,"[{'bedroom_type': '1 Bed', 'price': '$1,674'}, {'bedroom_type': '2 Beds', 'price': '$1,372'}]","1600 Canyon Terrace Ln, Folsom, CA 95630",https://www.apartments.com/canyon-terrace-folsom-ca/hrx3kx1/,,"$1,674","$1,372",,,,,
Apex Apartments,Laguna Niguel,Apartment,CA,92677,"[{'bedroom_type': 'Studio', 'price': '$1,810'}, {'bedroom_type': '1 Bed', 'price': '$1,960'}, {'bedroom_type': '2 Beds', 'price': '$2,320'}]","27960 Cabot Rd, Laguna Niguel, CA 92677",https://www.apartments.com/apex-apartments-laguna-niguel-ca/rccjv41/,"$1,810","$1,960","$2,320",,,,,
Tam Ridge,Corte Madera,Apartment,CA,94925,"[{'bedroom_type': '1 Bed', 'price': '$2,741'}, {'bedroom_type': '2 Beds', 'price': '$3,521'}, {'bedroom_type': '3 Beds', 'price': '$4,326'}]","195-205 Tamal Vista Blvd, Corte Madera, CA 94925",https://www.apartments.com/tam-ridge-corte-madera-ca/mmx3dzl/,,"$2,741","$3,521","$4,326",,,,
Indigo Apartments,Redwood City,Apartment,CA,94063,"[{'bedroom_type': 'Studio', 'price': '$2,579'}, {'bedroom_type': '1 Bed', 'price': '$2,755'}, {'bedroom_type': '2 Beds', 'price': '$3,875'}, {'bedroom_type': '3 Beds', 'price': '$5,813'}]","675 Bradford St, Redwood City, CA 94063",https://www.apartments.com/indigo-apartments-redwood-city-ca/wbn2ybk/,"$2,579","$2,755","$3,875","$5,813",,,,
88 at Alhambra Place,Alhambra,Apartment,CA,91801,"[{'bedroom_type': 'Studio', 'price': '$2,084'}, {'bedroom_type': '1 Bed', 'price': '$2,313'}, {'bedroom_type': '2 Beds', 'price': '$2,561'}, {'bedroom_type': '3 Beds', 'price': ''}]","88 S Garfield Ave, Alhambra, CA 91801",https://www.apartments.com/88-at-alhambra-place-alhambra-ca/klhdgpb/,"$2,084","$2,313","$2,561",,,,,
Homecoming At Terra Vista,Rancho Cucamonga,Apartment,CA,91730,"[{'bedroom_type': '1 Bed', 'price': '$1,903'}, {'bedroom_type': '2 Beds', 'price': '$2,195'}, {'bedroom_type': '3 Beds', 'price': '$2,672'}]","11660 Church St, Rancho Cucamonga, CA 91730",https://www.apartments.com/homecoming-at-terra-vista-rancho-cucamonga-ca/y5vg07v/,,"$1,903","$2,195","$2,672",,,,
Homecoming at The Preserve,Chino,Apartment,CA,91708,"[{'bedroom_type': '1 Bed', 'price': '$1,902'}, {'bedroom_type': '2 Beds', 'price': '$2,391'}, {'bedroom_type': '3 Beds', 'price': '$2,510'}, {'bedroom_type': '4 Beds', 'price': '$2,946'}]","16250 Homecoming Dr, Chino, CA 91708",https://www.apartments.com/homecoming-at-the-preserve-chino-ca/60dq5nr/,,"$1,902","$2,391","$2,510","$2,946",,,
Waterstone At Murrieta Apartments,Murrieta,Apartment,CA,92562,"[{'bedroom_type': '1 Bed', 'price': '$1,465'}, {'bedroom_type': '2 Beds', 'price': '$1,670'}]","24850 Hancock Ave, Murrieta, CA 92562",https://www.apartments.com/waterstone-at-murrieta-apartments-murrieta-ca/tj3w968/,,"$1,465","$1,670",,,,,
Parc One,Santee,Apartment,CA,92071,"[{'bedroom_type': '1 Bed', 'price': '$1,731'}, {'bedroom_type': '2 Beds', 'price': '$2,100'}, {'bedroom_type': '3 Beds', 'price': ''}]","300 Town Center Pky, Santee, CA 92071",https://www.apartments.com/parc-one-santee-ca/0zcvhv1/,,"$1,731","$2,100",,,,,
Mason at Hive,Oakland,Apartment,CA,94612,"[{'bedroom_type': 'Studio', 'price': '$2,195'}, {'bedroom_type': '1 Bed', 'price': '$2,293'}, {'bedroom_type': '2 Beds', 'price': '$3,296'}, {'bedroom_type': '3 Beds', 'price': '$4,048'}]","2350 Valley St, Oakland, CA 94612",https://www.apartments.com/mason-at-hive-oakland-ca/wp8p43l/,"$2,195","$2,293","$3,296","$4,048",,,,
Skye Apartments,Vista,Apartment,CA,92083,"[{'bedroom_type': '1 Bed', 'price': '$1,815'}, {'bedroom_type': '2 Beds', 'price': '$2,280'}, {'bedroom_type': '3 Beds', 'price': '$2,665'}]","501 W Bobier Dr, Vista, CA 92083",https://www.apartments.com/skye-apartments-vista-ca/pjvj6hv/,,"$1,815","$2,280","$2,665",,,,
Village View,San Diego,Apartment,CA,92122,"[{'bedroom_type': '1 Bed', 'price': '$1,800'}, {'bedroom_type': '2 Beds', 'price': '$2,200'}]","8155 Cargill Ave, San Diego, CA 92122",https://www.apartments.com/village-view-san-diego-ca/8yyrn52/,,"$1,800","$2,200",,,,,
Lincoln Park Apartments,Corona,Apartment,CA,92882,"[{'bedroom_type': '2 Beds', 'price': '$1,605'}]","1261 Ryan Ln, Corona, CA 92882",https://www.apartments.com/lincoln-park-apartments-corona-ca/jsy6fs5/,,,"$1,605",,,,,
Slate Creek,Roseville,Apartment,CA,95661,"[{'bedroom_type': '1 Bed', 'price': '$1,433'}, {'bedroom_type': '2 Beds', 'price': '$1,904'}, {'bedroom_type': '3 Beds', 'price': '$2,320'}]","1751 E Roseville Pky, Roseville, CA 95661",https://www.apartments.com/slate-creek-roseville-ca/prpmkts/,,"$1,433","$1,904","$2,320",,,,
ECLIPSE 96 APARTMENTS,Fair Oaks,Apartment,CA,95628,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,500'}]","12202 Fair Oaks Blvd, Fair Oaks, CA 95628",https://www.apartments.com/eclipse-96-apartments-fair-oaks-ca/xege9eq/,,,"$1,500",,,,,
The Avenue Hollywood,Hollywood,Apartment,CA,90028,"[{'bedroom_type': 'Studio', 'price': '$2,280'}, {'bedroom_type': '1 Bed', 'price': '$2,440'}, {'bedroom_type': '2 Beds', 'price': '$3,614'}, {'bedroom_type': '3 Beds', 'price': '$5,775'}]","1619 N La Brea Ave, Hollywood, CA 90028",https://www.apartments.com/the-avenue-hollywood-hollywood-ca/pzblp3t/,"$2,280","$2,440","$3,614","$5,775",,,,
SUNRISE COMMONS,Citrus Heights,Apartment,CA,95610,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,515'}]","8123 Sunrise Blvd, Citrus Heights, CA 95610",https://www.apartments.com/sunrise-commons-citrus-heights-ca/l51lmpg/,,,"$1,515",,,,,
Parkmerced,San Francisco,Apartment,CA,94132,"[{'bedroom_type': '1 Bed', 'price': '$2,760'}, {'bedroom_type': '2 Beds', 'price': '$3,280'}, {'bedroom_type': '3 Beds', 'price': '$4,579'}]","3711 19th Ave, San Francisco, CA 94132",https://www.apartments.com/parkmerced-san-francisco-ca/26ht3d9/,,"$2,760","$3,280","$4,579",,,,
Rancho Belago,Moreno Valley,Apartment,CA,92555,"[{'bedroom_type': '1 Bed', 'price': '$1,480'}, {'bedroom_type': '2 Beds', 'price': '$2,070'}, {'bedroom_type': '3 Beds', 'price': '$2,415'}]","27625 E Trail Ridge Way, Moreno Valley, CA 92555",https://www.apartments.com/rancho-belago-moreno-valley-ca/pls745s/,,"$1,480","$2,070","$2,415",,,,
La Moraga Apartments,San Jose,Apartment,CA,95123,"[{'bedroom_type': '1 Bed', 'price': '$2,329'}, {'bedroom_type': '2 Beds', 'price': '$2,600'}, {'bedroom_type': '3 Beds', 'price': '$3,496'}]","5822 Charlotte Dr, San Jose, CA 95123",https://www.apartments.com/la-moraga-apartments-san-jose-ca/1yx3ep7/,,"$2,329","$2,600","$3,496",,,,
Modernaire Apartments,San Diego,Apartment,CA,92123,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\tStudio\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n2 Beds\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","2420 Cardinal Dr, San Diego, CA 92123",https://www.apartments.com/modernaire-apartments-san-diego-ca/xxhp0km/,,,,,,,,
Highlands of Marin,San Rafael,Apartment,CA,94903,"[{'bedroom_type': '1 Bed', 'price': '$2,392'}, {'bedroom_type': '2 Beds', 'price': '$2,895'}, {'bedroom_type': '3 Beds', 'price': '$4,016'}]","1001 Cresta Way, San Rafael, CA 94903",https://www.apartments.com/highlands-of-marin-san-rafael-ca/gs3mgxz/,,"$2,392","$2,895","$4,016",,,,
The Colony at The Lakes,West Covina,Apartment,CA,91790,"[{'bedroom_type': '1 Bed', 'price': '$2,009'}, {'bedroom_type': '2 Beds', 'price': '$2,438'}]","301 S Glendora Ave, West Covina, CA 91790",https://www.apartments.com/the-colony-at-the-lakes-west-covina-ca/2mlw109/,,"$2,009","$2,438",,,,,
Amador Lakes Apartments,Dublin,Apartment,CA,94568,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}, {'bedroom_type': '2 Beds', 'price': '$2,395'}]","8105 N Lake Dr, Dublin, CA 94568",https://www.apartments.com/amador-lakes-apartments-dublin-ca/fp5cbbv/,,"$2,200","$2,395",,,,,
COBBLE OAKS APARTMENTS,Gold River,Apartment,CA,95670,"[{'bedroom_type': '1 Bed', 'price': '$1,685'}, {'bedroom_type': '2 Beds', 'price': '$1,805'}, {'bedroom_type': '3 Beds', 'price': '$2,330'}]","12155 Tributary Point Dr, Gold River, CA 95670",https://www.apartments.com/cobble-oaks-apartments-gold-river-ca/nsxp37q/,,"$1,685","$1,805","$2,330",,,,
Tanglewood @ Davis,Davis,Apartment,CA,95618,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n3 Beds\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","1880 Cowell Blvd, Davis, CA 95618",https://www.apartments.com/tanglewood-davis-davis-ca/xt2gz7p/,,,,,,,,
The Californian Apartments- HB,Huntington Beach,Apartment,CA,92647,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}, {'bedroom_type': '2 Beds', 'price': '$2,200'}]","6242 Warner Ave, Huntington Beach, CA 92647",https://www.apartments.com/the-californian-apartments-hb-huntington-beach-ca/vxwxl8d/,,"$1,750","$2,200",,,,,
Marisol Carlsbad,Carlsbad,Apartment,CA,92010,"[{'bedroom_type': '1 Bed', 'price': '$2,158'}, {'bedroom_type': '2 Beds', 'price': '$2,667'}, {'bedroom_type': '3 Beds', 'price': '$3,086'}]","3251 Marisol Pl, Carlsbad, CA 92010",https://www.apartments.com/marisol-carlsbad-carlsbad-ca/j3vyb25/,,"$2,158","$2,667","$3,086",,,,
Seaport Village,Long Beach,Apartment,CA,90805,"[{'bedroom_type': '1 Bed', 'price': '$1,601'}, {'bedroom_type': '2 Beds', 'price': '$1,914'}, {'bedroom_type': '3 Beds', 'price': '$2,014'}]","5601 N Paramount Blvd, Long Beach, CA 90805",https://www.apartments.com/seaport-village-long-beach-ca/36wq0ne/,,"$1,601","$1,914","$2,014",,,,
Alder,Northridge,Apartment,CA,91324,"[{'bedroom_type': 'Studio', 'price': '$1,760'}, {'bedroom_type': '1 Bed', 'price': '$1,935'}, {'bedroom_type': '2 Beds', 'price': '$2,520'}]","19401 Parthenia St, Northridge, CA 91324",https://www.apartments.com/alder-northridge-ca/44wvmph/,"$1,760","$1,935","$2,520",,,,,
Aventine,Hercules,Apartment,CA,94547,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$2,425'}, {'bedroom_type': '2 Beds', 'price': '$2,990'}, {'bedroom_type': '3 Beds', 'price': ''}]","1375 Sycamore Ave, Hercules, CA 94547",https://www.apartments.com/aventine-hercules-ca/6dws4qr/,,"$2,425","$2,990",,,,,
Beverly Arnaz,Los Angeles,Apartment,CA,90048,"[{'bedroom_type': '1 Bed', 'price': '$2,602'}, {'bedroom_type': '2 Beds', 'price': '$2,862'}]","467 Arnaz Dr, Los Angeles, CA 90048",https://www.apartments.com/beverly-arnaz-los-angeles-ca/ekrw6lm/,,"$2,602","$2,862",,,,,
Sofi Thousand Oaks,Thousand Oaks,Apartment,CA,91360,"[{'bedroom_type': '1 Bed', 'price': '$2,153'}, {'bedroom_type': '2 Beds', 'price': '$2,373'}, {'bedroom_type': '3 Beds', 'price': '$2,535'}]","491 W Gainsborough Rd, Thousand Oaks, CA 91360",https://www.apartments.com/sofi-thousand-oaks-thousand-oaks-ca/dx779xh/,,"$2,153","$2,373","$2,535",,,,
Malden Station by Windsor,Fullerton,Apartment,CA,92832,"[{'bedroom_type': 'Studio', 'price': '$1,770'}, {'bedroom_type': '1 Bed', 'price': '$1,890'}, {'bedroom_type': '2 Beds', 'price': '$2,385'}, {'bedroom_type': '3 Beds', 'price': ''}]","250 W Santa Fe Ave, Fullerton, CA 92832",https://www.apartments.com/malden-station-by-windsor-fullerton-ca/3dyvkse/,"$1,770","$1,890","$2,385",,,,,
Mira Vista Hills,Antioch,Apartment,CA,94509,"[{'bedroom_type': '1 Bed', 'price': '$1,487'}, {'bedroom_type': '2 Beds', 'price': '$1,558'}]","2201 San Jose Dr, Antioch, CA 94509",https://www.apartments.com/mira-vista-hills-antioch-ca/3hr5bmg/,,"$1,487","$1,558",,,,,
Harlow Culver City,Culver City,Apartment,CA,90232,"[{'bedroom_type': '1 Bed', 'price': '$2,599'}, {'bedroom_type': '2 Beds', 'price': '$3,531'}, {'bedroom_type': '3 Beds', 'price': '$4,765'}]","9901 Washington Blvd, Culver City, CA 90232",https://www.apartments.com/harlow-culver-city-culver-city-ca/z4mhd3z/,,"$2,599","$3,531","$4,765",,,,
The Current,Long Beach,Apartment,CA,90802,"[{'bedroom_type': 'Studio', 'price': '$2,420'}, {'bedroom_type': '1 Bed', 'price': '$2,300'}, {'bedroom_type': '2 Beds', 'price': '$3,470'}]","707 E Ocean Blvd, Long Beach, CA 90802",https://www.apartments.com/the-current-long-beach-ca/q50y7zy/,"$2,420","$2,300","$3,470",,,,,
