1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,6 beds,2 beds,4 beds,3 beds,5 beds,Studio
,San Francisco,Houses,CA,94122,"1274 45th Ave San Francisco, CA 94122",https://www.apartments.com/1274-45th-ave-san-francisco-ca/tccdt3b/,1 bath,800 sq ft,800,,2450,,,,
,Los Angeles,Houses,CA,90066,"12950 Admiral Ave Los Angeles, CA 90066",https://www.apartments.com/12950-admiral-ave-los-angeles-ca/jzj5074/,2 baths,"1,230 sq ft","1,230",,,,4700,,
,Los Angeles,Houses,CA,90026,"345 N Occidental Blvd Los Angeles, CA 90026",https://www.apartments.com/345-n-occidental-blvd-los-angeles-ca/049d1e2/,2 baths,"1,550 sq ft","1,550",,,,3900,,
,Adelanto,Houses,CA,92301,"15226 Lynch Ct Adelanto, CA 92301",https://www.apartments.com/15226-lynch-ct-adelanto-ca/enqkjcm/,1.5 baths,"1,100 sq ft","1,100",,,,1832,,
,Poway,Houses,CA,92064,"15450 Markar Rd Poway, CA 92064",https://www.apartments.com/15450-markar-rd-poway-ca/v1nl5ce/,5.5 baths,"7,259 sq ft","7,259",14500,,,,,
900,Sunnyvale,Houses,CA,94085,"557 Cypress Ave Sunnyvale, CA 94085",https://www.apartments.com/557-cypress-ave-sunnyvale-ca/p92pdks/,1 bath,111 sq ft,111,,,,,,
,Lancaster,Houses,CA,93534,"44434 Elm Ave Lancaster, CA 93534",https://www.apartments.com/44434-elm-ave-lancaster-ca/jb195p7/,2 baths,"2,069 sq ft","2,069",,,3000,,,
1900,Glendale,Houses,CA,91201,"1321 Elm Ave Glendale, CA 91201",https://www.apartments.com/1321-elm-ave-glendale-ca/vvqnlqe/,1 bath,800 sq ft,800,,,,,,
1275,Roseville,Houses,CA,95678,"607 Lawton Ave Roseville, CA 95678",https://www.apartments.com/607-lawton-ave-roseville-ca/w7807sl/,1 bath,600 sq ft,600,,,,,,
,Hermosa Beach,Houses,CA,90254,"1129 2nd St Hermosa Beach, CA 90254",https://www.apartments.com/1129-2nd-st-hermosa-beach-ca/kxglls8/,0.5 bath,"2,970 sq ft","2,970",,,,6500,,
,Los Angeles,Houses,CA,90066,"11828 Avon Way Los Angeles, CA 90066",https://www.apartments.com/11828-avon-way-los-angeles-ca/09kq5k3/,1 bath,"1,600 sq ft","1,600",,,,3800,,
,Palo Alto,Houses,CA,94306,"750 Arastradero Rd Palo Alto, CA 94306",https://www.apartments.com/750-arastradero-rd-palo-alto-ca/dpqkqkl/,3 baths,"2,700 sq ft","2,700",,,,,9800,
1650,Gardena,Houses,CA,90249,"15322 Chanera Ave Gardena, CA 90249",https://www.apartments.com/15322-chanera-ave-gardena-ca/5ks37bq/,1 bath,500 sq ft,500,,,,,,
,San Jose,Houses,CA,95123,"5970 Larkstone Loop San Jose, CA 95123",https://www.apartments.com/5970-larkstone-loop-san-jose-ca/nkvl76q/,3.5 baths,"2,205 sq ft","2,205",,,4000,,,
,San Francisco,Houses,CA,94122,"1232 46th Ave San Francisco, CA 94122",https://www.apartments.com/1232-46th-ave-san-francisco-ca/nke25bm/,1 bath,"1,500 sq ft","1,500",,2800,,,,
,Long Beach,Houses,CA,90804,"3025 E 17th St Long Beach, CA 90804",https://www.apartments.com/3025-e-17th-st-long-beach-ca/hvtbvk0/,1 bath,900 sq ft,900,,2600,,,,
,Santa Clara,Houses,CA,95054,"4638 Wilcox Ave Santa Clara, CA 95054",https://www.apartments.com/4638-wilcox-ave-santa-clara-ca/s82gfd6/,2.5 baths,"1,351 sq ft","1,351",,,,3700,,
,Fremont,Houses,CA,94555,"3447 Baskerville Rd Fremont, CA 94555",https://www.apartments.com/3447-baskerville-rd-fremont-ca/3456ghg/,3 baths,"1,474 sq ft","1,474",,,3500,,,
,Los Angeles,Houses,CA,90049,"119 S Bundy Dr Los Angeles, CA 90049",https://www.apartments.com/119-s-bundy-dr-los-angeles-ca/8vep4m0/,1 bath,"1,000 sq ft","1,000",,,,3500,,
,Altadena,Houses,CA,91001,"1968 El Molino Ave Altadena, CA 91001",https://www.apartments.com/1968-el-molino-ave-altadena-ca/34xpjme/,1 bath,"1,026 sq ft","1,026",,4950,,,,
,Los Angeles,Houses,CA,90068,"2733 Belden Dr Los Angeles, CA 90068",https://www.apartments.com/2733-belden-dr-los-angeles-ca/4lyqr0j/,3.5 baths,"2,300 sq ft","2,300",,,,10000,,
,Los Angeles,Houses,CA,90019,"1350 S Curson Ave Los Angeles, CA 90019",https://www.apartments.com/1350-s-curson-ave-los-angeles-ca/3p628pf/,3 baths,"2,007 sq ft","2,007",,,,5995,,
,Los Angeles,Houses,CA,90036,"147 N Poinsettia Pl Los Angeles, CA 90036",https://www.apartments.com/147-n-poinsettia-pl-los-angeles-ca/g78b48w/,2 baths,"2,060 sq ft","2,060",,,,5900,,
2250,Los Angeles,Houses,CA,90016,"1900 Hauser Blvd Los Angeles, CA 90016",https://www.apartments.com/1900-hauser-blvd-los-angeles-ca/qcyjvwz/,1 bath,650 sq ft,650,,,,,,
1100,Livermore,Houses,CA,94550,"2888 Patcham Cmn Livermore, CA 94550",https://www.apartments.com/2888-patcham-cmn-livermore-ca/sr1ztw7/,1 bath,120 sq ft,120,,,,,,
2200,Los Angeles,Houses,CA,90016,"5619 Blackwelder St Los Angeles, CA 90016",https://www.apartments.com/5619-blackwelder-st-los-angeles-ca/ttved1c/,1 bath,500 sq ft,500,,,,,,
,Culver City,Houses,CA,90232,"4307 Mentone Ave Culver City, CA 90232",https://www.apartments.com/4307-mentone-ave-culver-city-ca/m9wz37j/,2 baths,"1,500 sq ft","1,500",,,,6500,,
,Los Angeles,Houses,CA,90043,"3416 W 59th St Los Angeles, CA 90043",https://www.apartments.com/3416-w-59th-st-los-angeles-ca/nwqvspp/,1 bath,"1,100 sq ft","1,100",,,,2300,,
,Los Angeles,Houses,CA,90041,"4569 Paulhan Ave Los Angeles, CA 90041",https://www.apartments.com/4569-paulhan-ave-los-angeles-ca/gttkk9x/,1 bath,780 sq ft,780,,2800,,,,
1350,Los Angeles,Houses,CA,90066,"4275 Grand View Blvd Los Angeles, CA 90066",https://www.apartments.com/4275-grand-view-blvd-los-angeles-ca/rj5qxc1/,1 bath,125 sq ft,125,,,,,,
,Santa Monica,Houses,CA,90403,"1142 16th St Santa Monica, CA 90403",https://www.apartments.com/1142-16th-st-santa-monica-ca/08yjl41/,2 baths,"1,800 sq ft","1,800",,,,5950,,
,Playa del Rey,Houses,CA,90293,"8254 Billowvista Dr Playa del Rey, CA 90293",https://www.apartments.com/8254-billowvista-dr-playa-del-rey-ca/q8sen2y/,2 baths,985 sq ft,985,,5750,,,,
1300,Fremont,Houses,CA,94536,"4676 Capitan Dr Fremont, CA 94536",https://www.apartments.com/4676-capitan-dr-fremont-ca/6es67er/,0.5 bath,"1,100 sq ft","1,100",,,,,,
,San Pedro,Houses,CA,90731,"146 N Marshall Ct San Pedro, CA 90731",https://www.apartments.com/146-n-marshall-ct-san-pedro-ca/0v1n5h0/,1.5 baths,750 sq ft,750,,2250,,,,
,Woodland Hills,Houses,CA,91367,"23352 Erwin St Woodland Hills, CA 91367",https://www.apartments.com/23352-erwin-st-woodland-hills-ca/912y6c5/,2 baths,"1,778 sq ft","1,778",,,,4150,,
,Los Angeles,Houses,CA,90031,"3107 Eva Ter Los Angeles, CA 90031",https://www.apartments.com/3107-eva-ter-los-angeles-ca/e4lvevm/,2 baths,"1,150 sq ft","1,150",,3150,,,,
,Los Angeles,Houses,CA,90046,"2657 Zorada Dr Los Angeles, CA 90046",https://www.apartments.com/2657-zorada-dr-los-angeles-ca/vrbz6gg/,3 baths,"2,800 sq ft","2,800",,,9950,,,
,Hermosa Beach,Houses,CA,90254,"2141 Loma Dr Hermosa Beach, CA 90254",https://www.apartments.com/2141-loma-dr-hermosa-beach-ca/tcppzk9/,1.5 baths,"1,100 sq ft","1,100",,4500,,,,
,El Segundo,Houses,CA,90245,"439 Standard St El Segundo, CA 90245",https://www.apartments.com/439-standard-st-el-segundo-ca/9p5eqn5/,1 bath,"1,255 sq ft","1,255",,3100,,,,
,San Diego,Houses,CA,92154,"1062 Sea Glass Way San Diego, CA 92154",https://www.apartments.com/1062-sea-glass-way-san-diego-ca/gmpwppz/,2.5 baths,"1,720 sq ft","1,720",,,,3495,,
,Studio City,Houses,CA,91604,"3908 Carpenter Ave Studio City, CA 91604",https://www.apartments.com/3908-carpenter-ave-studio-city-ca/j2s18s5/,3 baths,"2,900 sq ft","2,900",,,8900,,,
,Los Angeles,Houses,CA,90027,"2123 Hyperion Ave Los Angeles, CA 90027",https://www.apartments.com/2123-hyperion-ave-los-angeles-ca/cljmbqd/,3 baths,"1,800 sq ft","1,800",,,,5500,,
,Los Angeles,Houses,CA,90027,"3730 Amesbury Rd Los Angeles, CA 90027",https://www.apartments.com/3730-amesbury-rd-los-angeles-ca/d4m3vnh/,1 bath,550 sq ft,550,,,,,,2450
,Torrance,Houses,CA,90504,"3818 W 173rd St Torrance, CA 90504",https://www.apartments.com/3818-w-173rd-st-torrance-ca/b4qsjqc/,2 baths,"1,500 sq ft","1,500",,,3500,,,
,San Jose,Houses,CA,95126,"1277 Dahlia Loop San Jose, CA 95126",https://www.apartments.com/1277-dahlia-loop-san-jose-ca/ndcq9np/,2.5 baths,"1,475 sq ft","1,475",,,,3795,,
,Redondo Beach,Houses,CA,90277,"906 S Pacific Coast Hwy Redondo Beach, CA 90277",https://www.apartments.com/906-s-pacific-coast-hwy-redondo-beach-ca/plhmz4v/,1 bath,"1,100 sq ft","1,100",,3500,,,,
,Torrance,Houses,CA,90504,"3236 187th Pl Torrance, CA 90504",https://www.apartments.com/3236-187th-pl-torrance-ca/x9gydmp/,3 baths,"1,640 sq ft","1,640",,,4400,,,
1525,Pasadena,Houses,CA,91103,"501 MacDonald St Pasadena, CA 91103",https://www.apartments.com/501-macdonald-st-pasadena-ca/06d5cn2/,1 bath,"1,320 sq ft","1,320",,2800,,,,
,Los Angeles,Houses,CA,90008,"3920 Virginia Rd Los Angeles, CA 90008",https://www.apartments.com/3920-virginia-rd-los-angeles-ca/bk8svgb/,1 bath,"1,214 sq ft","1,214",,3000,,,,
4999,Los Angeles,Houses,CA,91604,"4323 Laurelgrove Ave Los Angeles, CA 91604",https://www.apartments.com/4323-laurelgrove-ave-los-angeles-ca/3097syf/,1 bath,700 sq ft,700,,,,,,
,Los Angeles,Houses,CA,90004,"120 S Catalina St Los Angeles, CA 90004",https://www.apartments.com/120-s-catalina-st-los-angeles-ca/d80t6tk/,2 baths,"1,200 sq ft","1,200",,2500,,,,
,Beverly Hills,Houses,CA,90211,"446 S Almont Dr Beverly Hills, CA 90211",https://www.apartments.com/446-s-almont-dr-beverly-hills-ca/y2dtlms/,2.5 baths,"2,000 sq ft","2,000",,,,11000,,
1995,Los Angeles,Houses,CA,90034,"3284 Veteran Ave Los Angeles, CA 90034",https://www.apartments.com/3284-veteran-ave-los-angeles-ca/zysb5zw/,1 bath,116 sq ft,116,,,,,,
,Benicia,Houses,CA,94510,"50 La Cruz Ave Benicia, CA 94510",https://www.apartments.com/50-la-cruz-ave-benicia-ca/m7kh2gj/,3 baths,"2,500 sq ft","2,500",,,,,5000,
,Redondo Beach,Houses,CA,90277,"700 N Irena Ave Redondo Beach, CA 90277",https://www.apartments.com/700-n-irena-ave-redondo-beach-ca/lpf9gvg/,2 baths,"2,015 sq ft","2,015",,,,7920,,
,Santa Monica,Houses,CA,90405,"2460 Beverley Ave Santa Monica, CA 90405",https://www.apartments.com/2460-beverley-ave-santa-monica-ca/779px5z/,2 baths,"2,200 sq ft","2,200",,12000,,,,
3150,Mountain View,Houses,CA,94040,"135 Carmelita Dr Mountain View, CA 94040",https://www.apartments.com/135-carmelita-dr-mountain-view-ca/fsvbj3r/,1 bath,875 sq ft,875,,,,,,
,La Quinta,Houses,CA,92253,"79953 Rancho La Quinta Dr La Quinta, CA 92253",https://www.apartments.com/79953-rancho-la-quinta-dr-la-quinta-ca/cdm6grd/,4 baths,"3,052 sq ft","3,052",,,,,15000,
,Gardena,Houses,CA,90247,"815 W 134th St Gardena, CA 90247",https://www.apartments.com/815-w-134th-st-gardena-ca/6zv7fts/,2 baths,925 sq ft,925,,,,3100,,
,Manhattan Beach,Houses,CA,90266,"2005 N Meadows Ave Manhattan Beach, CA 90266",https://www.apartments.com/2005-n-meadows-ave-manhattan-beach-ca/7djw1zw/,4 baths,"3,510 sq ft","3,510",,,10400,,,
,Campbell,Houses,CA,95008,"1071 Shamrock Dr Campbell, CA 95008",https://www.apartments.com/1071-shamrock-dr-campbell-ca/7h50rpx/,1 bath,"1,000 sq ft","1,000",,4750,,,,
1100,San Jose,Houses,CA,95124,"3142 Kirk Rd San Jose, CA 95124",https://www.apartments.com/3142-kirk-rd-san-jose-ca/yjhz11v/,2 baths,"1,500 sq ft","1,500",,,,,,
,San Francisco,Houses,CA,94110,"47 Duncan St San Francisco, CA 94110",https://www.apartments.com/47-duncan-st-san-francisco-ca/vzyg74e/,1.5 baths,"1,500 sq ft","1,500",,4500,,,,
,Venice,Houses,CA,90291,"636 Vernon Ave Venice, CA 90291",https://www.apartments.com/636-vernon-ave-venice-ca/jjr4qy5/,1.5 baths,"1,200 sq ft","1,200",,5900,,,,
,Los Angeles,Houses,CA,90066,"3855 Albright Ave Los Angeles, CA 90066",https://www.apartments.com/3855-albright-ave-los-angeles-ca/4p652zh/,2 baths,"1,142 sq ft","1,142",,,,4750,,
,Los Angeles,Houses,CA,90064,"2743 Kelton Ave Los Angeles, CA 90064",https://www.apartments.com/2743-kelton-ave-los-angeles-ca/0bhh8e1/,2 baths,"1,700 sq ft","1,700",,,,5000,,
,Los Angeles,Houses,CA,90019,"1533 S Dunsmuir Ave Los Angeles, CA 90019",https://www.apartments.com/1533-s-dunsmuir-ave-los-angeles-ca/t3wjhec/,1 bath,"1,000 sq ft","1,000",,3500,,,,
1770,Los Angeles,Houses,CA,90019,"1354 S Redondo Blvd Los Angeles, CA 90019",https://www.apartments.com/1354-s-redondo-blvd-los-angeles-ca/d6r0mlj/,1 bath,700 sq ft,700,,,,,,
,Whittier,Houses,CA,90603,"10632 Claridge Plz Whittier, CA 90603",https://www.apartments.com/10632-claridge-plz-whittier-ca/lxhvq3d/,2 baths,"1,750 sq ft","1,750",,,,2900,,
,Lancaster,Houses,CA,93535,"44238 Carolside Ave Lancaster, CA 93535",https://www.apartments.com/44238-carolside-ave-lancaster-ca/3b5cfmg/,1 bath,"1,436 sq ft","1,436",,,,1900,,
,Campbell,Houses,CA,95008,"1057 Shamrock Dr Campbell, CA 95008",https://www.apartments.com/1057-shamrock-dr-campbell-ca/wrsb2bl/,3 baths,"1,800 sq ft","1,800",,,,5500,,
,West Hollywood,Houses,CA,90046,"1622 N Sierra Bonita Ave West Hollywood, CA 90046",https://www.apartments.com/1622-n-sierra-bonita-ave-west-hollywood-ca/dqsjrkl/,3 baths,"3,000 sq ft","3,000",,,,9000,,
,Los Angeles,Houses,CA,90003,"157 W 83rd St Los Angeles, CA 90003",https://www.apartments.com/157-w-83rd-st-los-angeles-ca/pps2dvv/,2 baths,"2,000 sq ft","2,000",5250,,,,,
,Pleasanton,Houses,CA,94566,"1622 Tanglewood Ct Pleasanton, CA 94566",https://www.apartments.com/1622-tanglewood-ct-pleasanton-ca/66xcm2s/,2 baths,"1,976 sq ft","1,976",,,4995,,,
,Los Angeles,Houses,CA,90077,"1552 Crater Ln Los Angeles, CA 90077",https://www.apartments.com/1552-crater-ln-los-angeles-ca/4th0n5j/,2 baths,"1,600 sq ft","1,600",,5300,,,,
,Los Angeles,Houses,CA,90046,"749 N Crescent Heights Blvd Los Angeles, CA 90046",https://www.apartments.com/749-n-crescent-heights-blvd-los-angeles-ca/x2x4c8n/,2 baths,"1,800 sq ft","1,800",,,7900,,,
,Dublin,Houses,CA,94568,"5615 Springvale Dr Dublin, CA 94568",https://www.apartments.com/5615-springvale-dr-dublin-ca/vlv7npf/,1 bath,"2,500 sq ft","2,500",,995,,,,
,Los Angeles,Houses,CA,90004,"4503 Rosewood Ave Los Angeles, CA 90004",https://www.apartments.com/4503-rosewood-ave-los-angeles-ca/0m6xnw2/,1 bath,"1,488 sq ft","1,488",,,,2800,,
,Los Angeles,Houses,CA,90045,"7809 Flight Ave Los Angeles, CA 90045",https://www.apartments.com/7809-flight-ave-los-angeles-ca/d1sgkzk/,1 bath,800 sq ft,800,,3000,,,,
1400,Fillmore,Houses,CA,93015,"160 Santa Clara St Fillmore, CA 93015",https://www.apartments.com/160-santa-clara-st-fillmore-ca/mftds2k/,1 bath,700 sq ft,700,,,,,,
1700,Los Angeles,Houses,CA,91364,"4603 Romberg Pl Los Angeles, CA 91364",https://www.apartments.com/4603-romberg-pl-los-angeles-ca/zlwjy9w/,1 bath,550 sq ft,550,,,,,,
3000,Long Beach,Houses,CA,90808,"6102 E Scrivener St Long Beach, CA 90808",https://www.apartments.com/6102-e-scrivener-st-long-beach-ca/5w4m1qp/,1 bath,588 sq ft,588,,,,,,
,San Francisco,Houses,CA,94118,"163 14th Ave San Francisco, CA 94118",https://www.apartments.com/163-14th-ave-san-francisco-ca/3x0ltrg/,4 baths,"3,000 sq ft","3,000",8995,,,,,
1850,Van Nuys,Houses,CA,91406,"7052 Whitaker Ave Van Nuys, CA 91406",https://www.apartments.com/7052-whitaker-ave-van-nuys-ca/1pxjq44/,1 bath,400 sq ft,400,,,,,,
,West Hollywood,Houses,CA,90048,"6620 W 5th St West Hollywood, CA 90048",https://www.apartments.com/6620-w-5th-st-west-hollywood-ca/zsmf1zy/,3.5 baths,"4,000 sq ft","4,000",,,,23000,,
,Los Angeles,Houses,CA,91405,"14646 Kittridge St Los Angeles, CA 91405",https://www.apartments.com/14646-kittridge-st-los-angeles-ca/ftqwbtt/,4.5 baths,"2,600 sq ft","2,600",,,3800,,,
,Los Angeles,Houses,CA,90048,"6329 Warner Dr Los Angeles, CA 90048",https://www.apartments.com/6329-warner-dr-los-angeles-ca/m6qll9j/,2.5 baths,"1,744 sq ft","1,744",,,,5200,,
1890,Los Angeles,Houses,CA,90038,"827 McCadden N Pl Los Angeles, CA 90038",https://www.apartments.com/827-mccadden-n-pl-los-angeles-ca/bgsmvh8/,1 bath,800 sq ft,800,,,,,,
,Culver City,Houses,CA,90230,"5342 Ballona Ln Culver City, CA 90230",https://www.apartments.com/5342-ballona-ln-culver-city-ca/6pk9v5v/,2.5 baths,"1,942 sq ft","1,942",,,,6500,,
3000,Los Angeles,Houses,CA,90028,"6726 Leland Way Los Angeles, CA 90028",https://www.apartments.com/6726-leland-way-los-angeles-ca/dr0wkrh/,1 bath,690 sq ft,690,,,,,,
2699,Berkeley,Houses,CA,94703,"2504 Grant St Berkeley, CA 94703",https://www.apartments.com/2504-grant-st-berkeley-ca/5wmr8ym/,1 bath,500 sq ft,500,,,,,,
1795,North Hollywood,Houses,CA,91601,"4929 Cahuenga Blvd North Hollywood, CA 91601",https://www.apartments.com/4929-cahuenga-blvd-north-hollywood-ca/26p0ddb/,1 bath,750 sq ft,750,,,,,,
1795,North Hollywood,Houses,CA,91601,"4927 Cahuenga Blvd North Hollywood, CA 91601",https://www.apartments.com/4927-cahuenga-blvd-north-hollywood-ca/85mb4x3/,1 bath,750 sq ft,750,,,,,,
7000,Los Angeles,Houses,CA,90291,"2323 Grand Canal Los Angeles, CA 90291",https://www.apartments.com/2323-grand-canal-los-angeles-ca/1p4j006/,1 bath,900 sq ft,900,,,,,,
,Vallejo,Houses,CA,94590,"700 Sacramento St Vallejo, CA 94590",https://www.apartments.com/700-sacramento-st-vallejo-ca/frdzrtt/,2.5 baths,"1,750 sq ft","1,750",,,,3000,,
,Los Angeles,Houses,CA,90025,"2103 Holmby Ave Los Angeles, CA 90025",https://www.apartments.com/2103-holmby-ave-los-angeles-ca/6lw1vjv/,3 baths,"2,003 sq ft","2,003",,,7800,,,
,Merced,Houses,CA,95340,"1341 W Santa Fe Ave Merced, CA 95340",https://www.apartments.com/1341-w-santa-fe-ave-merced-ca/l1x8kwe/,1 bath,800 sq ft,800,,1000,,,,
,Escondido,Houses,CA,92026,"2173 W El Norte Pky Escondido, CA 92026",https://www.apartments.com/2173-w-el-norte-pky-escondido-ca/5yzgm6n/,2 baths,"1,689 sq ft","1,689",,,3350,,,
,Redondo Beach,Houses,CA,90278,"1723 Stanford Ave Redondo Beach, CA 90278",https://www.apartments.com/1723-stanford-ave-redondo-beach-ca/x0xp49n/,2 baths,"1,400 sq ft","1,400",,,,6500,,
,Van Nuys,Houses,CA,91405,"6619 Matilija Ave Van Nuys, CA 91405",https://www.apartments.com/6619-matilija-ave-van-nuys-ca/k9j0d08/,3 baths,"2,800 sq ft","2,800",,,5200,,,
1350,Los Angeles,Houses,CA,90046,"2366 Nichols Canyon Rd Los Angeles, CA 90046",https://www.apartments.com/2366-nichols-canyon-rd-los-angeles-ca/cjqrzvd/,1 bath,500 sq ft,500,,,,,,
,Berkeley,Houses,CA,94710,"1010 Allston Way Berkeley, CA 94710",https://www.apartments.com/1010-allston-way-berkeley-ca/zww2ney/,2 baths,"1,768 sq ft","1,768",,,,4595,,
,Citrus Heights,Houses,CA,95621,"7900 Rusch Dr Citrus Heights, CA 95621",https://www.apartments.com/7900-rusch-dr-citrus-heights-ca/gjx47wx/,1 bath,"1,350 sq ft","1,350",,,,2150,,
,Bakersfield,Houses,CA,93311,"10703 Sunset Ranch Dr Bakersfield, CA 93311",https://www.apartments.com/10703-sunset-ranch-dr-bakersfield-ca/kq375t9/,2 baths,"1,448 sq ft","1,448",,,,1750,,
,Pasadena,Houses,CA,91106,"138 S Bonnie Ave Pasadena, CA 91106",https://www.apartments.com/138-s-bonnie-ave-pasadena-ca/1qvv3w5/,1 bath,530 sq ft,530,,2275,,,,
,Los Angeles,Houses,CA,90024,"10514 Rochester Ave Los Angeles, CA 90024",https://www.apartments.com/10514-rochester-ave-los-angeles-ca/sl70ty6/,2 baths,"1,750 sq ft","1,750",,,,6500,,
,Los Altos,Houses,CA,94024,"810 Raymundo Ave Los Altos, CA 94024",https://www.apartments.com/810-raymundo-ave-los-altos-ca/jn4kvw5/,1 bath,250 sq ft,250,,,,,,1575
,Palm Springs,Houses,CA,92262,"835 Alta Rdg Palm Springs, CA 92262",https://www.apartments.com/835-alta-rdg-palm-springs-ca/5pdys0p/,2 baths,"2,300 sq ft","2,300",,,,3200,,
,Santa Clarita,Houses,CA,91387,"28800 Kenroy Ave Santa Clarita, CA 91387",https://www.apartments.com/28800-kenroy-ave-santa-clarita-ca/9rrbxf4/,1 bath,400 sq ft,400,,,,,,1650
,Los Angeles,Houses,CA,90066,"3822 Berryman Ave Los Angeles, CA 90066",https://www.apartments.com/3822-berryman-ave-los-angeles-ca/4hpz01k/,1 bath,600 sq ft,600,,,,,,2300
,South Pasadena,Houses,CA,91030,"342 Pasadena Ave South Pasadena, CA 91030",https://www.apartments.com/342-pasadena-ave-south-pasadena-ca/gbgy0nz/,1.5 baths,"1,270 sq ft","1,270",,3900,,,,
2300,Sunland,Houses,CA,91040,"7964 Glenties Ln Sunland, CA 91040",https://www.apartments.com/7964-glenties-ln-sunland-ca/p31bk2r/,1 bath,"1,200 sq ft","1,200",,,,,,
,Beverly Hills,Houses,CA,90210,"9847 Yoakum Dr Beverly Hills, CA 90210",https://www.apartments.com/9847-yoakum-dr-beverly-hills-ca/dpn4qtj/,2 baths,"1,500 sq ft","1,500",,,,5500,,
,Santa Monica,Houses,CA,90403,"1621 California Ave Santa Monica, CA 90403",https://www.apartments.com/1621-california-ave-santa-monica-ca/cv2cwjd/,1 bath,800 sq ft,800,,3500,,,,
1800,Palo Alto,Houses,CA,94301,"550 Melville Ave Palo Alto, CA 94301",https://www.apartments.com/550-melville-ave-palo-alto-ca/bzxhy69/,1 bath,400 sq ft,400,,,,,,
,San Francisco,Houses,CA,94134,"627 Colby St San Francisco, CA 94134",https://www.apartments.com/627-colby-st-san-francisco-ca/kxl4rtc/,2 baths,"1,500 sq ft","1,500",,,,4485,,
,Mill Valley,Houses,CA,94941,"111 Richardson Dr Mill Valley, CA 94941",https://www.apartments.com/111-richardson-dr-mill-valley-ca/kezxmv9/,3 baths,"2,106 sq ft","2,106",,,5500,,,
,North Hollywood,Houses,CA,91601,"10800 Otsego St North Hollywood, CA 91601",https://www.apartments.com/10800-otsego-st-north-hollywood-ca/ymd4kxs/,1 bath,"1,157 sq ft","1,157",,,,2995,,
,North Hollywood,Houses,CA,91601,"10936 Otsego St North Hollywood, CA 91601",https://www.apartments.com/10936-otsego-st-north-hollywood-ca/mckt7cl/,2 baths,"1,585 sq ft","1,585",,,,3795,,
,Canoga Park,Houses,CA,91304,"7543 Lilla Pl Canoga Park, CA 91304",https://www.apartments.com/7543-lilla-pl-canoga-park-ca/1q0y426/,3 baths,"2,850 sq ft","2,850",,,,,5250,
,San Francisco,Houses,CA,94116,"2163 Funston Ave San Francisco, CA 94116",https://www.apartments.com/2163-funston-ave-san-francisco-ca/glbmjxx/,4 baths,"2,800 sq ft","2,800",,,8000,,,
,Modesto,Houses,CA,95355,"3313 Kee Ln Modesto, CA 95355",https://www.apartments.com/3313-kee-ln-modesto-ca/qr8n37y/,2.5 baths,"2,236 sq ft","2,236",,,2700,,,
,San Diego,Houses,CA,92104,"3745 Boundary St San Diego, CA 92104",https://www.apartments.com/3745-boundary-st-san-diego-ca/68dvdjs/,1 bath,750 sq ft,750,,2895,,,,
,Los Angeles,Houses,CA,90035,"8859 Horner St Los Angeles, CA 90035",https://www.apartments.com/8859-horner-st-los-angeles-ca/gvnz4cz/,2 baths,"1,605 sq ft","1,605",,,,5500,,
,Newport Beach,Houses,CA,92661,"900 E Balboa Blvd Newport Beach, CA 92661",https://www.apartments.com/900-e-balboa-blvd-newport-beach-ca/z3n4xbw/,4.5 baths,"5,300 sq ft","5,300",,,40000,,,
,Newport Beach,Houses,CA,92660,"715 Bayside Dr Newport Beach, CA 92660",https://www.apartments.com/715-bayside-dr-newport-beach-ca/cm0dqvf/,4 baths,"3,893 sq ft","3,893",,,35000,,,
,Los Angeles,Houses,CA,90043,"6000 4th Ave Los Angeles, CA 90043",https://www.apartments.com/6000-4th-ave-los-angeles-ca/2fcj8d8/,1 bath,"1,150 sq ft","1,150",,2550,,,,
2250,Woodland Hills,Houses,CA,91367,"22746 Collins St Woodland Hills, CA 91367",https://www.apartments.com/22746-collins-st-woodland-hills-ca/zhpwj6x/,1 bath,690 sq ft,690,,,,,,
,Stevenson Ranch,Houses,CA,91381,"26533 Thackery Ln Stevenson Ranch, CA 91381",https://www.apartments.com/26533-thackery-ln-stevenson-ranch-ca/74kl0ww/,4 baths,"3,670 sq ft","3,670",,,,,5495,
,San Jose,Houses,CA,95123,"427 Avenida Palmas San Jose, CA 95123",https://www.apartments.com/427-avenida-palmas-san-jose-ca/w4ysx9h/,3 baths,"2,130 sq ft","2,130",,,4600,,,
,Culver City,Houses,CA,90232,"9042 Hubbard St Culver City, CA 90232",https://www.apartments.com/9042-hubbard-st-culver-city-ca/ehl9r5n/,1 bath,550 sq ft,550,,2600,,,,
,San Diego,Houses,CA,92109,"728 Venice Ct San Diego, CA 92109",https://www.apartments.com/728-venice-ct-san-diego-ca/c7x351e/,1 bath,700 sq ft,700,,4400,,,,
,Corona,Houses,CA,92882,"224 S Belle Ave Corona, CA 92882",https://www.apartments.com/224-s-belle-ave-corona-ca/pz768qr/,1 bath,"1,556 sq ft","1,556",,,,2000,,
,Los Angeles,Houses,CA,90026,"1759 Silver Lake Blvd Los Angeles, CA 90026",https://www.apartments.com/1759-silver-lake-blvd-los-angeles-ca/nhldepm/,2 baths,"1,200 sq ft","1,200",,4995,,,,
