City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,4 Beds,1 Bed,4+ Beds,Studio,5 Beds
Vista,Townhomes,CA,92083,"[{'bedroom_type': '2 Beds', 'price': '$1,90'}]","955 Postal Way, Vista, CA 92083",https://www.apartments.com/955-postal-way-vista-ca/k936jn9/,2 BAs,980 Sq Ft,980,12 Month Lease,Jan 4,"$1,90",,,,,,
Los Angeles,Townhomes,CA,90744,"[{'bedroom_type': '3 Beds', 'price': '$2,40'}]","924 Lakme Ave, Los Angeles, CA 90744",https://www.apartments.com/924-lakme-ave-los-angeles-ca/4cd1xwk/,3 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,"$2,40",,,,,
Mountain View,Townhomes,CA,94043,"[{'bedroom_type': '3 Beds', 'price': '$3,49'}]","370 Flower Ln, Mountain View, CA 94043",https://www.apartments.com/370-flower-ln-mountain-view-ca/82y0h41/,2½ BAs,"1,390 Sq Ft","1,390",12 Month Lease,Available Now,,"$3,49",,,,,
Buena Park,Townhomes,CA,90620,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","6941 Houston St, Buena Park, CA 90620",https://www.apartments.com/6941-houston-st-buena-park-ca/b6e76q8/,1½ BAs,"1,020 Sq Ft","1,020",12 Month Lease,Available Now,"$1,99",,,,,,
Redding,Townhomes,CA,96002,"[{'bedroom_type': '2 Beds', 'price': '$1,55'}]","3128 Niklaus Path, Redding, CA 96002",https://www.apartments.com/3128-niklaus-path-redding-ca/ft341ks/,2½ BAs,"1,601 Sq Ft","1,601",12 Month Lease,Available Now,"$1,55",,,,,,
Morro Bay,Townhomes,CA,93442,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","310 Yerba Buena St, Morro Bay, CA 93442",https://www.apartments.com/310-yerba-buena-st-morro-bay-ca/bxbg01c/,2 BAs,"1,168 Sq Ft","1,168",12 Month Lease,Available Now,"$2,60",,,,,,
Whittier,Townhomes,CA,90601,"[{'bedroom_type': '3 Beds', 'price': '$2,60'}]","13063 Cam Del Oro, Whittier, CA 90601",https://www.apartments.com/13063-cam-del-oro-whittier-ca/q4j7s7y/,1½ BAs,"1,435 Sq Ft","1,435",12 Month Lease,Available Now,,"$2,60",,,,,
Milpitas,Townhomes,CA,95035,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","611 Barcelona Loop, Milpitas, CA 95035",https://www.apartments.com/611-barcelona-loop-milpitas-ca/mf9x7bj/,3 BAs,"1,623 Sq Ft","1,623",12 Month Lease,Jan 2,,"$3,40",,,,,
Milpitas,Townhomes,CA,95035,"[{'bedroom_type': '2 Beds', 'price': '$3,10'}]","920 Rain Dance, Milpitas, CA 95035",https://www.apartments.com/920-rain-dance-milpitas-ca/6wl6d2t/,2½ BAs,"1,353 Sq Ft","1,353",12 Month Lease,Available Now,"$3,10",,,,,,
Los Angeles,Townhomes,CA,91606,"[{'bedroom_type': '2 Beds', 'price': '$2,35'}]","11725 Lemay St, Los Angeles, CA 91606",https://www.apartments.com/11725-lemay-st-los-angeles-ca/f90qx9v/,2 BAs,"1,045 Sq Ft","1,045",12 Month Lease,Available Now,"$2,35",,,,,,
Los Angeles,Townhomes,CA,90063,"[{'bedroom_type': '4 Beds', 'price': '$3,39'}]","3805 Hammel St, Los Angeles, CA 90063",https://www.apartments.com/3805-hammel-st-los-angeles-ca/xdz3vwn/,3½ BAs,"1,510 Sq Ft","1,510",12 Month Lease,Available Now,,,"$3,39",,,,
San Bernardino,Townhomes,CA,92408,"[{'bedroom_type': '4 Beds', 'price': '$2,10'}]","180 N Plymouth Way, San Bernardino, CA 92408",https://www.apartments.com/180-n-plymouth-way-san-bernardino-ca/bd94y29/,3 BAs,"1,921 Sq Ft","1,921",12 Month Lease,Available Now,,,"$2,10",,,,
Redding,Townhomes,CA,96003,"[{'bedroom_type': '3 Beds', 'price': '$1,42'}]","729 July Way, Redding, CA 96003",https://www.apartments.com/729-july-way-redding-ca/kvhhfm8/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Jan 6,,"$1,42",,,,,
Davis,Townhomes,CA,95618,"[{'bedroom_type': '3 Beds', 'price': '$2,65'}]","3217 Albany Ter, Davis, CA 95618",https://www.apartments.com/3217-albany-ter-davis-ca/h9bn1x2/,2½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$2,65",,,,,
San Jose,Townhomes,CA,95111,"[{'bedroom_type': '2 Beds', 'price': '$2,80'}]","155 Rancho Manor Ct, San Jose, CA 95111",https://www.apartments.com/155-rancho-manor-ct-san-jose-ca/rebd7t2/,2½ BAs,"1,034 Sq Ft","1,034",12 Month Lease,Available Now,"$2,80",,,,,,
Mountain View,Townhomes,CA,94043,"[{'bedroom_type': '3 Beds', 'price': '$5,00'}]","166 Owens Ct, Mountain View, CA 94043",https://www.apartments.com/166-owens-ct-mountain-view-ca/xykxjgp/,2½ BAs,"1,288 Sq Ft","1,288",,Available Now,,"$5,00",,,,,
San Bernardino,Townhomes,CA,92405,"[{'bedroom_type': '3 Beds', 'price': '$1,49'}]","1604 N H St, San Bernardino, CA 92405",https://www.apartments.com/1604-n-h-st-san-bernardino-ca/h8nvqw0/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$1,49",,,,,
San Jose,Townhomes,CA,95111,"[{'bedroom_type': '2 Beds', 'price': '$2,99'}]","82 Esfahan Dr, San Jose, CA 95111",https://www.apartments.com/82-esfahan-dr-san-jose-ca/y90qbft/,2½ BAs,"1,303 Sq Ft","1,303",12 Month Lease,Available Now,"$2,99",,,,,,
Santa Clarita,Townhomes,CA,91350,"[{'bedroom_type': '2 Beds', 'price': '$2,05'}]","28197 Robin Ave, Santa Clarita, CA 91350",https://www.apartments.com/28197-robin-ave-santa-clarita-ca/cclkx2d/,1 BA,758 Sq Ft,758,12 Month Lease,Available Now,"$2,05",,,,,,
Beverly Hills,Townhomes,CA,90212,"[{'bedroom_type': '2 Beds', 'price': '$5,50'}]","9936 Durant Dr, Beverly Hills, CA 90212",https://www.apartments.com/9936-durant-dr-beverly-hills-ca/zg0sqty/,2½ BAs,"2,000 Sq Ft","2,000",,Available Now,"$5,50",,,,,,
Newark,Townhomes,CA,94560,"[{'bedroom_type': '3 Beds', 'price': '$2,95'}]","6119 Thornton Ave, Newark, CA 94560",https://www.apartments.com/6119-thornton-ave-newark-ca/y441ypr/,2½ BAs,"1,330 Sq Ft","1,330",12 Month Lease,Available Now,,"$2,95",,,,,
Ukiah,Townhomes,CA,95482,"[{'bedroom_type': '2 Beds', 'price': '$1,70'}]","921 Marlene St, Ukiah, CA 95482",https://www.apartments.com/921-marlene-st-ukiah-ca/se76gr7/,2 BAs,"1,200 Sq Ft","1,200",9 Month Lease,Available Now,"$1,70",,,,,,
Palo Alto,Townhomes,CA,94303,"[{'bedroom_type': '2 Beds', 'price': '$3,85'}]","1076 Colorado Pl, Palo Alto, CA 94303",https://www.apartments.com/1076-colorado-pl-palo-alto-ca/tqmf1yc/,2½ BAs,"1,572 Sq Ft","1,572",12 Month Lease,Available Now,"$3,85",,,,,,
Palo Alto,Townhomes,CA,94303,"[{'bedroom_type': '3 Beds', 'price': '$4,19'}]","3186 Berryessa St, Palo Alto, CA 94303",https://www.apartments.com/3186-berryessa-st-palo-alto-ca/qx10ehz/,3½ BAs,"1,715 Sq Ft","1,715",12 Month Lease,Available Now,,"$4,19",,,,,
Palo Alto,Townhomes,CA,94301,"[{'bedroom_type': '1 Bed', 'price': '$2,80'}]","152 Tasso St, Palo Alto, CA 94301",https://www.apartments.com/152-tasso-st-palo-alto-ca/hqjbbe3/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,,,,"$2,80",,,
San Francisco,Townhomes,CA,94114,"[{'bedroom_type': '3 Beds', 'price': '$5,50'}]","4647 25th St, San Francisco, CA 94114",https://www.apartments.com/4647-25th-st-san-francisco-ca/ryh9vh3/,2½ BAs,"2,041 Sq Ft","2,041",12 Month Lease,Available Now,,"$5,50",,,,,
West Covina,Townhomes,CA,91792,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","1351 Parkside Dr, West Covina, CA 91792",https://www.apartments.com/1351-parkside-dr-west-covina-ca/pxfhkdv/,2 BAs,"2,799 Sq Ft","2,799",12 Month Lease,Available Now,,"$3,00",,,,,
San Ramon,Townhomes,CA,94582,"[{'bedroom_type': '1 Bed', 'price': '$2,65'}]","194 Copper Ridge Rd, San Ramon, CA 94582",https://www.apartments.com/194-copper-ridge-rd-san-ramon-ca/lmj3t0d/,1 BA,778 Sq Ft,778,12 Month Lease,Jan 2,,,,"$2,65",,,
Visalia,Townhomes,CA,93291,"[{'bedroom_type': '3 Beds', 'price': '$1,45'}]","4713 W School Ave, Visalia, CA 93291",https://www.apartments.com/4713-w-school-ave-visalia-ca/mdcgvpj/,2½ BAs,"1,404 Sq Ft","1,404",12 Month Lease,Available Now,,"$1,45",,,,,
